Date,MAIN_MARKET_50_index_Open,MAIN_MARKET_50_index_High,MAIN_MARKET_50_index_Low,MAIN_MARKET_50_index_Close,NSE-ALL_SHARE_index_Open,NSE-ALL_SHARE_index_High,NSE-ALL_SHARE_index_Low,NSE-ALL_SHARE_index_Close,NIFTY_50_index_Open,NIFTY_50_index_High,NIFTY_50_index_Low,NIFTY_50_index_Close,FTSE_AOX_GENERAL_index_Open,FTSE_AOX_GENERAL_index_High,FTSE_AOX_GENERAL_index_Low,FTSE_AOX_GENERAL_index_Close,QE_GENERAL_index_Open,QE_GENERAL_index_High,QE_GENERAL_index_Low,QE_GENERAL_index_Close,FTSE_100_index_Open,FTSE_100_index_High,FTSE_100_index_Low,FTSE_100_index_Close,BOVESPA_index_Open,BOVESPA_index_High,BOVESPA_index_Low,BOVESPA_index_Close,NKY_index_Open,NKY_index_High,NKY_index_Low,NKY_index_Close,XIN9I_index_Open,XIN9I_index_High,XIN9I_index_Low,XIN9I_index_Close,DAX_index_Open,DAX_index_High,DAX_index_Low,DAX_index_Close,SPX_index_Open,SPX_index_High,SPX_index_Low,SPX_index_Close
2/11/2022,43745.73,44283.02,43626.57,44283.02,43745.73,44283.02,43626.57,44283.02,18177.9,18178.75,18048.65,18082.85,10416.06,10433.23,10366.13,10433.23,3952.94,3968.73,3944.61,3968.73,7186.16,7205.07,7130.5,7144.14,,,,,27562.3,27692.55,27546.88,27663.39,11687.67,11917.14,11584.35,11808.33,13369.33,13398.64,13255.07,13256.74,3852.9,3894.44,3758.68,3759.69
3/11/2022,44283.02,44286.16,44209.17,44236.7,44283.02,44286.16,44209.17,44236.7,17968.35,18106.3,17959.2,18052.7,10433.23,10459.84,10355.86,10381.68,3951.4,3954.5,3895.61,3895.61,7144.14,7188.63,7076.47,7188.63,116927.42,117373.01,114485.13,116896.36,,,,,11808.33,11808.33,11595.65,11657.16,13130.97,13194.32,13022.64,13130.19,3733.25,3750.59,3698.15,3719.89
4/11/2022,44236.7,44275.32,44171.5,44269.18,44236.7,44275.32,44171.5,44269.18,18053.4,18135.1,18017.15,18117.15,10381.68,10482.34,10345.43,10482.34,,,,,7188.63,7376.23,7188.63,7334.84,116907.18,120039.37,116904.14,118155.46,27371.89,27389.3,27032.02,27199.74,11657.16,12160.16,11641.48,12085.44,13201.24,13542.35,13193.51,13459.85,3766.98,3796.34,3708.84,3770.55
6/11/2022,,,,,,,,,,,,,,,,,3949.93,4016,3949.93,3987.19,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2022,44269.18,44274.18,44217.38,44269.43,44269.18,44274.18,44217.38,44269.43,18211.75,18255.5,18064.75,18202.8,10482.34,10606.7,10460.77,10606.7,3959,4041.37,3941.21,4041.37,7334.84,7346.66,7288,7299.99,118148.47,118239.86,115220.95,115342.4,27406.78,27578.01,27357.53,27527.64,12085.44,12206.35,11988.23,12146.94,13398.79,13611.3,13391,13533.52,3780.71,3813.95,3764.7,3806.8
8/11/2022,44269.43,44293.1,43439.72,43461.6,44269.43,44293.1,43439.72,43461.6,,,,,10606.7,10649.91,10552.98,10600.02,3960.17,4040.79,3958.47,4040.79,7299.99,7313.46,7244.83,7306.14,115339.64,117072.45,114687.75,116160.35,27718.84,27943.27,27704.64,27872.11,12146.94,12210.35,11957.78,12045.04,13506.65,13689.61,13487.91,13688.75,3817.02,3859.4,3786.28,3828.11
9/11/2022,43461.6,44071.41,43448.58,43477.48,43461.6,44071.41,43448.58,43477.48,18288.25,18296.4,18117.5,18157,10600.02,10661.64,10580.58,10618.07,4011.39,4045.63,4010.97,4045.63,7306.14,7307.8,7263.46,7296.25,116153.42,116182.73,113109.53,113580.09,27884.55,27926.52,27688.86,27716.43,12045.04,12087.2,11886.11,11912.85,13653.98,13691.12,13557.08,13666.32,3810.94,3818.2,3744.22,3748.57
10/11/2022,43477.48,44287.55,43393.2,43942.82,43477.48,44287.55,43393.2,43942.82,18044.35,18103.1,17969.4,18028.2,10618.07,10629.01,10583.28,10619.43,4027.03,4036.52,3965.46,3965.46,7296.25,7405.09,7253.36,7375.34,113578.78,113578.78,108516.46,109775.46,27459.08,27485.38,27370.62,27446.1,11912.85,11913.43,11735.95,11866.62,13603.79,14157.25,13599.35,14146.09,3859.89,3958.33,3859.89,3956.37
11/11/2022,43943.46,43994.65,43924.32,43968.75,43943.46,43994.65,43924.32,43968.75,18272.35,18362.3,18259.35,18349.7,10619.43,10667.95,10576.7,10629.75,,,,,7375.34,7408.61,7316.84,7318.04,109775.46,113009.62,109408.1,112253.49,27868.69,28329.54,27837.09,28263.57,11866.62,12380.04,11866.62,12263.11,14179.39,14263.53,14172.47,14224.86,3963.72,4001.48,3944.82,3992.93
13/11/2022,,,,,,,,,,,,,,,,,4019.84,4042.77,4012.2,4021.79,,,,,,,,,,,,,,,,,,,,,,,,
14/11/2022,43956.76,43956.76,43770.82,43818.12,43956.76,43956.76,43770.82,43818.12,18376.4,18399.45,18311.4,18329.15,10629.75,10671.32,10558.77,10620.26,4017.04,4027.87,3975.7,3999.53,7318.04,7413.82,7317.57,7385.17,112255.54,114322.31,111930.35,113161.28,28277.64,28305.04,27963.47,27963.47,12263.11,12533.37,12263.11,12294.14,14295.81,14431.18,14243.35,14313.3,3977.97,4008.97,3956.4,3957.25
15/11/2022,43818.12,43857.81,43788.18,43808.25,43818.12,43857.81,43788.18,43808.25,18362.75,18427.95,18282,18403.4,10620.26,10623.75,10513.08,10527.71,4002.65,4010.62,3904.16,3904.16,7385.17,7413.01,7344.85,7369.44,,,,,27940.26,28038.63,27903.27,27990.17,12294.14,12536.91,12202.98,12490.61,14372.42,14440.78,14266.42,14378.51,4006.41,4028.84,3953.17,3991.73
16/11/2022,43808.25,44050.44,43808.25,44050.44,43808.25,44050.44,43808.25,44050.44,18398.25,18442.15,18344.15,18409.65,10527.71,10536.72,10458.89,10482.28,3952.04,3953.06,3881.5,3881.5,7369.44,7394.42,7341.59,7351.19,113166.25,113473.39,109512.22,110243.33,28020.49,28069.25,27743.15,28028.3,12490.61,12545.15,12396.17,12418.61,14374.86,14382.62,14195.31,14234.03,3976.82,3983.09,3954.34,3958.79
17/11/2022,44046.94,44052.82,43969.57,44011.22,44046.94,44052.82,43969.57,44011.22,18358.7,18417.6,18312.95,18343.9,10482.28,10489.56,10421.21,10424.93,3911.15,3911.15,3856.94,3856.94,7351.19,7354.07,7294.75,7346.54,110240.66,110241.8,107245.13,109702.78,27952.21,28029.62,27910.01,27930.57,12418.61,12418.61,12188.32,12296.42,14348.46,14384.54,14149.7,14266.38,3919.26,3954.33,3906.54,3946.56
18/11/2022,44011.22,44492.73,44001.7,44492.73,44011.22,44492.73,44001.7,44492.73,18382.95,18394.6,18209.8,18307.65,10424.93,10466.15,10395.08,10466.15,,,,,7346.54,7423.51,7343.5,7385.52,109706.43,111584.86,108511.71,108870.17,28009.82,28045.44,27877.78,27899.77,12296.42,12394.56,12247.34,12269.57,14320.61,14457.76,14300.21,14431.86,3966.39,3979.89,3935.98,3965.34
20/11/2022,,,,,,,,,,,,,,,,,3878.81,3891.36,3844.17,3844.17,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2022,44492.73,44701.84,44492.73,44701.84,44492.73,44701.84,44492.73,44701.84,18246.4,18262.3,18133.35,18159.95,10466.15,10466.15,10364.65,10399.28,3866.73,3868.14,3696.76,3696.76,7385.52,7402.79,7343.37,7376.85,108868.18,110235.29,107957.01,109748.18,27982,28007.06,27846.3,27944.79,12269.57,12269.57,12000.52,12131.48,14395.53,14425.95,14321.84,14379.93,3956.23,3962,3933.34,3949.94
