Country Name,Country Code,2020_gdp,2021_gdp,2022_gdp,2020_case,2021_case,2022_case
Malta,MLT,29196.97774537861,34218.214741796764,33940.94959612909,12417.0,39699.0,18982.0
Myanmar,MMR,1477.4529047947944,1210.5406876896989,1095.701789545853,124519.0,406185.0,61305.0
Montenegro,MNE,7677.369141055172,9465.966408194416,9893.515906931963,48138.0,120280.0,60478.0
Mongolia,MNG,4041.174145131654,4566.140131026753,4946.754811257231,74.0,691426.0,216758.0
Mozambique,MOZ,454.062364345564,491.8390749479798,541.4544254992292,18448.0,169180.0,36000.0
Mauritania,MRT,1868.468248315017,2166.0447965054277,2190.7002054703435,14233.0,27109.0,17165.0
Mauritius,MUS,9005.462021742742,9062.722475888177,10216.29474404146,425.0,68095.0,2382.0
Malawi,MWI,622.1845913684914,633.6097332868222,645.1586920671853,6482.0,68492.0,10287.0
Malaysia,MYS,10160.829346559214,11109.265288174653,11971.927599153494,112457.0,2645076.0,738004.0
Namibia,NAM,4252.041806845085,4919.188955480264,4911.327635377612,23326.0,124022.0,9301.0
Niger,NER,564.821997328603,590.6294813880869,533.0287638195132,3207.0,4082.0,1354.0
Nigeria,NGA,2074.6139280243838,2065.7490675092254,2184.4214931682764,87196.0,153906.0,13085.0
Nicaragua,NIC,1876.6073716956917,2064.92511550317,2255.4259860369457,5792.0,11441.0,618.0
Netherlands,NLD,52162.570115039736,57708.11121343215,55985.40342557072,805938.0,2346892.0,3386782.0
Norway,NOR,68340.01810337017,90655.39102293923,106148.778627718,48571.0,342911.0,884910.0
Nepal,NPL,1139.1898920238732,1229.3942052070463,1336.5460472641396,260326.0,567838.0,148768.0
New Zealand,NZL,41760.59478399969,49996.42067258112,48249.2640150011,1713.0,11959.0,151980.0
Oman,OMN,16707.62300632143,19509.466463386663,25056.79486083783,128688.0,176622.0,77900.0
Pakistan,PAK,1322.3147827027128,1505.0101927945946,1596.662661492363,481879.0,813755.0,215821.0
Panama,PAN,13293.333205043316,15491.28979024815,17357.62862939848,246681.0,249130.0,260165.0
Peru,PER,6063.626579801671,6635.4639234485885,7125.8292350929005,1015020.0,1276421.0,1221890.0
Philippines,PHL,3224.422811046597,3460.539400776206,3498.509815982527,473938.0,2369926.0,819941.0
Papua New Guinea,PNG,2446.084413400593,2644.5371733094057,3020.2696458016435,686.0,35378.0,5177.0
Poland,POL,15816.820402273375,17999.83226829846,18321.280889953254,1294775.0,2813337.0,1586552.0
Portugal,PRT,22242.4064179716,24598.47279375444,24274.516582307744,413508.0,975968.0,1892811.0
Paraguay,PRY,5353.348044641984,5959.441763278855,6153.055676791028,107828.0,358169.0,176472.0
Qatar,QAT,52315.66007831166,66838.3276414802,88046.32041558909,143272.0,106694.0,107055.0
Romania,ROU,13047.45768117801,14927.116855573182,15892.118525698826,631896.0,1176628.0,939886.0
Rwanda,RWA,773.8205574733794,821.2281940724357,966.3271101125712,8028.0,103403.0,17747.0
Saudi Arabia,SAU,20398.060987369907,24160.67604553066,30436.278303402527,362179.0,193495.0,189830.0
Sudan,SDN,608.33251953125,749.706787109375,1102.146484375,25393.0,21031.0,14994.0
Senegal,SEN,1492.475904203337,1633.5601188060518,1598.7359905307785,18965.0,55915.0,10657.0
Singapore,SGP,61274.00646269759,77710.06995656167,82807.64908347641,58214.0,220806.0,488258.0
Solomon Islands,SLB,2222.462142973361,2232.5369564653074,2203.1896595810217,,,6969.0
Sierra Leone,SLE,493.43225243184446,504.6212721795262,461.3611382942582,2507.0,4453.0,601.0
El Salvador,SLV,3961.72663347599,4664.311222683848,5127.321668230122,46231.0,75703.0,34419.0
Serbia,SRB,7733.803493926481,9230.174446745665,9393.628906299107,337820.0,961416.0,617368.0
South Sudan,SSD,,,,3355.0,11684.0,1747.0
Sao Tome and Principe,STP,2161.310200787679,2360.5435538589727,2404.2586931448427,840.0,2881.0,2037.0
Suriname,SUR,4796.533313899278,4869.134226212424,5858.286059511902,6110.0,46236.0,25907.0
Slovenia,SVN,25545.241002713195,29291.40062344306,29457.402844390028,122011.0,341896.0,432992.0
Sweden,SWE,52837.9039778149,61143.221242804735,55873.22081089766,433514.0,876412.0,1136680.0
Eswatini,SWZ,3372.9046388384427,3982.905229316851,4039.518036044741,9258.0,56751.0,3102.0
Seychelles,SYC,12020.021913518976,12963.064671708771,15874.540067510588,,24493.0,14615.0
Chad,TCD,643.772216240999,685.690314996613,716.8043812366511,1996.0,3590.0,1554.0
Togo,TGO,875.2454099067343,964.0500101868946,918.3767557934814,3524.0,26530.0,6645.0
Thailand,THA,7001.785412557707,7060.897609416076,6908.802119295427,6788.0,2216400.0,734727.0
Tajikistan,TJK,852.3302295897907,916.6919670619218,1054.189483588177,13537.0,3828.0,293.0
Trinidad and Tobago,TTO,13871.798215861396,16032.502767725027,18222.26032522177,7047.0,84749.0,36792.0
Tunisia,TUN,3497.733230572685,3807.1845631020583,3776.6677793401486,139026.0,587566.0,272735.0
Tanzania,TZA,1104.16442871094,1146.03198242188,1192.40380859375,362.0,28797.0,4314.0
Uganda,UGA,846.8811992148075,883.4657280781284,964.2243852244308,34137.0,105490.0,22605.0
Ukraine,UKR,3751.7373046875,4827.845703125,4533.9755859375,1086852.0,2760229.0,1193292.0
Uruguay,URY,15650.4994274155,17923.995332796145,20795.042353555345,18866.0,394264.0,433485.0
United States,USA,63528.63430275085,70219.472454115,76398.59174220536,20193029.0,34616884.0,24333696.0
Uzbekistan,UZB,1759.3074705078525,1993.4244779079504,2255.1511548936405,76956.0,121843.0,37693.0
South Africa,ZAF,5741.641248772521,7055.055176212984,6776.480077429317,1056234.0,2382539.0,206345.0
Zambia,ZMB,956.8317474862816,1137.3443948319618,1487.9077643102462,20619.0,233549.0,58929.0
Zimbabwe,ZWE,1372.6966743331732,1773.9204108807812,1266.9960306903215,13735.0,199391.0,24245.0
